Stock,Sector,Month,PriceStart,PriceEnd
AAPL,Tech,2025-03,3491,3314
AAPL,Tech,2025-02,4673,4693
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-02,3173,2952
TCS,Tech,2025-05,964,1199
RELIANCE,Energy,2025-02,2760,2983
RELIANCE,Energy,2025-06,2462,2394
RELIANCE,Energy,2025-05,1576,1461
JPM,Finance,2025-02,680,451
MSFT,Tech,2025-05,3466,3529
HDFC,Finance,2025-04,3175,3241
MSFT,Tech,2025-04,2493,2247
BABA,Retail,2025-06,2753,2587
AAPL,Tech,2025-05,1570,2151
AAPL,Tech,2025-05,1570,2151
BABA,Retail,2025-05,2388,2448
MSFT,Tech,2025-04,2493,2247
JPM,Finance,2025-05,1209,1624
TSLA,Auto,2025-03,3652,3445
RELIANCE,Energy,2025-02,2760,2983
TCS,Tech,2025-06,1589,2086
TCS,Tech,2025-05,964,1199
RELIANCE,Energy,2025-04,4626,4388
RELIANCE,Energy,2025-06,2462,2394
HDFC,Finance,2025-02,3173,2952
AAPL,Tech,2025-05,1570,2151
HDFC,Finance,2025-04,3175,3241
HDFC,Finance,2025-03,4931,5321
BABA,Retail,2025-02,94,439
JPM,Finance,2025-02,680,451
MSFT,Tech,2025-01,1147,1103
MSFT,Tech,2025-01,1147,1103
JPM,Finance,2025-02,680,451
BAJAJ-AUTO,Auto,2025-01,336,245
TCS,Tech,2025-01,3676,4125
MSFT,Tech,2025-05,3466,3529
AAPL,Tech,2025-02,4673,4693
JPM,Finance,2025-01,3652,3816
JPM,Finance,2025-04,1731,1861
HDFC,Finance,2025-02,3173,2952
TSLA,Auto,2025-06,4541,4909
HDFC,Finance,2025-04,3175,3241
HDFC,Finance,2025-03,4931,5321
TCS,Tech,2025-06,1589,2086
RELIANCE,Energy,2025-04,4626,4388
TSLA,Auto,2025-04,4223,4329
AAPL,Tech,2025-04,1230,1663
WMT,Staples,2025-06,1416,1914
MSFT,Tech,2025-01,1147,1103
HDFC,Finance,2025-01,1412,1736
TCS,Tech,2025-06,1589,2086
JPM,Finance,2025-01,3652,3816
MSFT,Tech,2025-02,4186,4388
AAPL,Tech,2025-05,1570,2151
TSLA,Auto,2025-06,4541,4909
WMT,Staples,2025-01,1024,1413
BABA,Retail,2025-03,2102,1873
TCS,Tech,2025-02,4893,5458
WMT,Staples,2025-01,1024,1413
TCS,Tech,2025-04,4107,4520
WMT,Staples,2025-04,459,541
BAJAJ-AUTO,Auto,2025-06,2864,3098
BAJAJ-AUTO,Auto,2025-04,4347,4803
WMT,Staples,2025-06,1416,1914
HDFC,Finance,2025-05,3538,3575
HDFC,Finance,2025-04,3175,3241
TCS,Tech,2025-05,964,1199
WMT,Staples,2025-04,459,541
TSLA,Auto,2025-03,3652,3445
JPM,Finance,2025-03,3466,3561
TSLA,Auto,2025-02,1878,1861
BABA,Retail,2025-04,1892,1956
AAPL,Tech,2025-05,1570,2151
MSFT,Tech,2025-05,3466,3529
AAPL,Tech,2025-04,1230,1663
AAPL,Tech,2025-04,1230,1663
MSFT,Tech,2025-03,4502,4441
MSFT,Tech,2025-02,4186,4388
TSLA,Auto,2025-01,139,491
WMT,Staples,2025-01,1024,1413
JPM,Finance,2025-05,1209,1624
TSLA,Auto,2025-06,4541,4909
RELIANCE,Energy,2025-03,4926,5358
TCS,Tech,2025-06,1589,2086
WMT,Staples,2025-05,703,1263
TSLA,Auto,2025-01,139,491
BABA,Retail,2025-05,2388,2448
AAPL,Tech,2025-02,4673,4693
TCS,Tech,2025-03,2916,3173
TCS,Tech,2025-03,2916,3173
JPM,Finance,2025-04,1731,1861
AAPL,Tech,2025-05,1570,2151
HDFC,Finance,2025-04,3175,3241
BAJAJ-AUTO,Auto,2025-06,2864,3098
JPM,Finance,2025-02,680,451
BABA,Retail,2025-03,2102,1873
JPM,Finance,2025-01,3652,3816
BABA,Retail,2025-05,2388,2448
AAPL,Tech,2025-04,1230,1663
AAPL,Tech,2025-04,1230,1663
BAJAJ-AUTO,Auto,2025-06,2864,3098
JPM,Finance,2025-02,680,451
BAJAJ-AUTO,Auto,2025-02,451,295
WMT,Staples,2025-01,1024,1413
TCS,Tech,2025-02,4893,5458
MSFT,Tech,2025-06,624,869
BABA,Retail,2025-04,1892,1956
BAJAJ-AUTO,Auto,2025-02,451,295
BAJAJ-AUTO,Auto,2025-02,451,295
BAJAJ-AUTO,Auto,2025-05,4526,4648
TSLA,Auto,2025-06,4541,4909
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-06,624,869
MSFT,Tech,2025-01,1147,1103
HDFC,Finance,2025-02,3173,2952
HDFC,Finance,2025-03,4931,5321
RELIANCE,Energy,2025-03,4926,5358
BAJAJ-AUTO,Auto,2025-04,4347,4803
WMT,Staples,2025-04,459,541
RELIANCE,Energy,2025-06,2462,2394
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-01,1024,1413
TCS,Tech,2025-02,4893,5458
JPM,Finance,2025-06,846,1347
TCS,Tech,2025-01,3676,4125
RELIANCE,Energy,2025-01,1320,1617
HDFC,Finance,2025-04,3175,3241
MSFT,Tech,2025-03,4502,4441
AAPL,Tech,2025-04,1230,1663
JPM,Finance,2025-01,3652,3816
AAPL,Tech,2025-02,4673,4693
RELIANCE,Energy,2025-02,2760,2983
BABA,Retail,2025-02,94,439
HDFC,Finance,2025-01,1412,1736
WMT,Staples,2025-06,1416,1914
AAPL,Tech,2025-01,1339,1164
BABA,Retail,2025-02,94,439
BAJAJ-AUTO,Auto,2025-04,4347,4803
BABA,Retail,2025-01,2860,3424
TCS,Tech,2025-06,1589,2086
TCS,Tech,2025-02,4893,5458
TCS,Tech,2025-01,3676,4125
WMT,Staples,2025-02,3176,2953
WMT,Staples,2025-06,1416,1914
BAJAJ-AUTO,Auto,2025-01,336,245
BAJAJ-AUTO,Auto,2025-02,451,295
MSFT,Tech,2025-02,4186,4388
BABA,Retail,2025-04,1892,1956
HDFC,Finance,2025-02,3173,2952
RELIANCE,Energy,2025-01,1320,1617
TCS,Tech,2025-02,4893,5458
JPM,Finance,2025-04,1731,1861
WMT,Staples,2025-06,1416,1914
WMT,Staples,2025-05,703,1263
TSLA,Auto,2025-04,4223,4329
TCS,Tech,2025-01,3676,4125
TCS,Tech,2025-04,4107,4520
JPM,Finance,2025-04,1731,1861
RELIANCE,Energy,2025-05,1576,1461
TCS,Tech,2025-05,964,1199
MSFT,Tech,2025-01,1147,1103
WMT,Staples,2025-06,1416,1914
JPM,Finance,2025-06,846,1347
WMT,Staples,2025-06,1416,1914
BABA,Retail,2025-04,1892,1956
JPM,Finance,2025-04,1731,1861
WMT,Staples,2025-02,3176,2953
HDFC,Finance,2025-01,1412,1736
TCS,Tech,2025-03,2916,3173
JPM,Finance,2025-04,1731,1861
RELIANCE,Energy,2025-03,4926,5358
TCS,Tech,2025-03,2916,3173
BAJAJ-AUTO,Auto,2025-04,4347,4803
BAJAJ-AUTO,Auto,2025-04,4347,4803
TCS,Tech,2025-01,3676,4125
AAPL,Tech,2025-05,1570,2151
TCS,Tech,2025-02,4893,5458
AAPL,Tech,2025-02,4673,4693
JPM,Finance,2025-05,1209,1624
BAJAJ-AUTO,Auto,2025-01,336,245
BAJAJ-AUTO,Auto,2025-06,2864,3098
AAPL,Tech,2025-03,3491,3314
WMT,Staples,2025-02,3176,2953
BABA,Retail,2025-01,2860,3424
TCS,Tech,2025-06,1589,2086
BAJAJ-AUTO,Auto,2025-06,2864,3098
TSLA,Auto,2025-06,4541,4909
JPM,Finance,2025-06,846,1347
MSFT,Tech,2025-04,2493,2247
HDFC,Finance,2025-03,4931,5321
TSLA,Auto,2025-06,4541,4909
MSFT,Tech,2025-04,2493,2247
MSFT,Tech,2025-06,624,869
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-01,1024,1413
BAJAJ-AUTO,Auto,2025-04,4347,4803
TCS,Tech,2025-04,4107,4520
BAJAJ-AUTO,Auto,2025-03,4817,4874
TCS,Tech,2025-02,4893,5458
WMT,Staples,2025-02,3176,2953
WMT,Staples,2025-04,459,541
TCS,Tech,2025-03,2916,3173
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-05,3538,3575
HDFC,Finance,2025-02,3173,2952
AAPL,Tech,2025-02,4673,4693
JPM,Finance,2025-01,3652,3816
AAPL,Tech,2025-06,2092,1800
JPM,Finance,2025-04,1731,1861
BABA,Retail,2025-02,94,439
RELIANCE,Energy,2025-04,4626,4388
BABA,Retail,2025-02,94,439
HDFC,Finance,2025-02,3173,2952
JPM,Finance,2025-01,3652,3816
BAJAJ-AUTO,Auto,2025-01,336,245
JPM,Finance,2025-06,846,1347
BAJAJ-AUTO,Auto,2025-02,451,295
HDFC,Finance,2025-06,4414,4612
BAJAJ-AUTO,Auto,2025-05,4526,4648
BABA,Retail,2025-05,2388,2448
HDFC,Finance,2025-01,1412,1736
WMT,Staples,2025-05,703,1263
TSLA,Auto,2025-03,3652,3445
RELIANCE,Energy,2025-03,4926,5358
RELIANCE,Energy,2025-03,4926,5358
MSFT,Tech,2025-02,4186,4388
RELIANCE,Energy,2025-04,4626,4388
TSLA,Auto,2025-03,3652,3445
TCS,Tech,2025-01,3676,4125
RELIANCE,Energy,2025-03,4926,5358
MSFT,Tech,2025-03,4502,4441
JPM,Finance,2025-04,1731,1861
WMT,Staples,2025-04,459,541
MSFT,Tech,2025-02,4186,4388
JPM,Finance,2025-06,846,1347
RELIANCE,Energy,2025-06,2462,2394
HDFC,Finance,2025-02,3173,2952
JPM,Finance,2025-06,846,1347
WMT,Staples,2025-06,1416,1914
WMT,Staples,2025-04,459,541
TCS,Tech,2025-03,2916,3173
BAJAJ-AUTO,Auto,2025-01,336,245
AAPL,Tech,2025-05,1570,2151
WMT,Staples,2025-01,1024,1413
BABA,Retail,2025-06,2753,2587
RELIANCE,Energy,2025-01,1320,1617
RELIANCE,Energy,2025-03,4926,5358
JPM,Finance,2025-06,846,1347
RELIANCE,Energy,2025-02,2760,2983
JPM,Finance,2025-01,3652,3816
JPM,Finance,2025-02,680,451
HDFC,Finance,2025-02,3173,2952
RELIANCE,Energy,2025-01,1320,1617
RELIANCE,Energy,2025-03,4926,5358
JPM,Finance,2025-03,3466,3561
TCS,Tech,2025-06,1589,2086
AAPL,Tech,2025-03,3491,3314
RELIANCE,Energy,2025-03,4926,5358
AAPL,Tech,2025-02,4673,4693
RELIANCE,Energy,2025-03,4926,5358
HDFC,Finance,2025-01,1412,1736
BABA,Retail,2025-05,2388,2448
TSLA,Auto,2025-03,3652,3445
MSFT,Tech,2025-04,2493,2247
BAJAJ-AUTO,Auto,2025-06,2864,3098
MSFT,Tech,2025-05,3466,3529
RELIANCE,Energy,2025-03,4926,5358
BABA,Retail,2025-01,2860,3424
TCS,Tech,2025-01,3676,4125
AAPL,Tech,2025-01,1339,1164
HDFC,Finance,2025-03,4931,5321
AAPL,Tech,2025-02,4673,4693
WMT,Staples,2025-05,703,1263
MSFT,Tech,2025-02,4186,4388
BABA,Retail,2025-01,2860,3424
JPM,Finance,2025-02,680,451
BABA,Retail,2025-01,2860,3424
WMT,Staples,2025-05,703,1263
BABA,Retail,2025-06,2753,2587
AAPL,Tech,2025-01,1339,1164
HDFC,Finance,2025-01,1412,1736
TSLA,Auto,2025-01,139,491
TCS,Tech,2025-06,1589,2086
WMT,Staples,2025-04,459,541
RELIANCE,Energy,2025-02,2760,2983
TCS,Tech,2025-02,4893,5458
HDFC,Finance,2025-02,3173,2952
BAJAJ-AUTO,Auto,2025-05,4526,4648
BAJAJ-AUTO,Auto,2025-05,4526,4648
TCS,Tech,2025-03,2916,3173
TCS,Tech,2025-02,4893,5458
HDFC,Finance,2025-02,3173,2952
TSLA,Auto,2025-06,4541,4909
BABA,Retail,2025-05,2388,2448
WMT,Staples,2025-06,1416,1914
RELIANCE,Energy,2025-04,4626,4388
JPM,Finance,2025-02,680,451
BABA,Retail,2025-05,2388,2448
WMT,Staples,2025-06,1416,1914
TSLA,Auto,2025-06,4541,4909
AAPL,Tech,2025-04,1230,1663
TCS,Tech,2025-02,4893,5458
TSLA,Auto,2025-04,4223,4329
BABA,Retail,2025-03,2102,1873
AAPL,Tech,2025-04,1230,1663
TSLA,Auto,2025-04,4223,4329
